entropy_min,entropy_max,std_min,std_max,AUC
3.0,5.1,10.0,41.0,0.647172619047619
3.0,5.1,10.0,46.44444444444444,0.6474702380952382
3.0,5.1,10.0,51.888888888888886,0.6483630952380952
3.0,5.1,10.0,57.333333333333336,0.6483630952380953
3.0,5.1,10.0,62.77777777777778,0.6477678571428571
3.0,5.1,10.0,68.22222222222223,0.6477678571428571
3.0,5.1,10.0,73.66666666666667,0.6480654761904763
3.0,5.1,10.0,79.11111111111111,0.647172619047619
3.0,5.1,10.0,84.55555555555556,0.6474702380952382
3.0,5.1,10.0,90.0,0.6480654761904762
3.0,5.1,13.333333333333334,41.0,0.5836309523809524
3.0,5.1,13.333333333333334,46.44444444444444,0.5839285714285715
3.0,5.1,13.333333333333334,51.888888888888886,0.5845238095238096
3.0,5.1,13.333333333333334,57.333333333333336,0.5839285714285715
3.0,5.1,13.333333333333334,62.77777777777778,0.5839285714285715
3.0,5.1,13.333333333333334,68.22222222222223,0.5839285714285715
3.0,5.1,13.333333333333334,73.66666666666667,0.5839285714285715
3.0,5.1,13.333333333333334,79.11111111111111,0.5839285714285715
3.0,5.1,13.333333333333334,84.55555555555556,0.5845238095238096
3.0,5.1,13.333333333333334,90.0,0.5842261904761904
3.0,5.1,16.666666666666668,41.0,0.5354166666666667
3.0,5.1,16.666666666666668,46.44444444444444,0.5360119047619049
3.0,5.1,16.666666666666668,51.888888888888886,0.5363095238095238
3.0,5.1,16.666666666666668,57.333333333333336,0.5363095238095238
3.0,5.1,16.666666666666668,62.77777777777778,0.5363095238095238
3.0,5.1,16.666666666666668,68.22222222222223,0.5360119047619049
3.0,5.1,16.666666666666668,73.66666666666667,0.5360119047619049
3.0,5.1,16.666666666666668,79.11111111111111,0.5360119047619049
3.0,5.1,16.666666666666668,84.55555555555556,0.5363095238095238
3.0,5.1,16.666666666666668,90.0,0.5363095238095238
3.0,5.1,20.0,41.0,0.5127976190476191
3.0,5.1,20.0,46.44444444444444,0.513095238095238
3.0,5.1,20.0,51.888888888888886,0.513095238095238
3.0,5.1,20.0,57.333333333333336,0.5127976190476191
3.0,5.1,20.0,62.77777777777778,0.5127976190476191
3.0,5.1,20.0,68.22222222222223,0.5127976190476191
3.0,5.1,20.0,73.66666666666667,0.5127976190476191
3.0,5.1,20.0,79.11111111111111,0.513095238095238
3.0,5.1,20.0,84.55555555555556,0.513095238095238
3.0,5.1,20.0,90.0,0.513095238095238
3.0,5.1,23.333333333333336,41.0,0.5132440476190476
3.0,5.1,23.333333333333336,46.44444444444444,0.5132440476190476
3.0,5.1,23.333333333333336,51.888888888888886,0.5132440476190476
3.0,5.1,23.333333333333336,57.333333333333336,0.5132440476190476
3.0,5.1,23.333333333333336,62.77777777777778,0.5132440476190476
3.0,5.1,23.333333333333336,68.22222222222223,0.5132440476190476
3.0,5.1,23.333333333333336,73.66666666666667,0.5132440476190476
3.0,5.1,23.333333333333336,79.11111111111111,0.5132440476190476
3.0,5.1,23.333333333333336,84.55555555555556,0.5132440476190476
3.0,5.1,23.333333333333336,90.0,0.5132440476190476
3.0,5.1,26.666666666666668,41.0,0.5132440476190476
3.0,5.1,26.666666666666668,46.44444444444444,0.5132440476190476
3.0,5.1,26.666666666666668,51.888888888888886,0.5132440476190476
3.0,5.1,26.666666666666668,57.333333333333336,0.5132440476190476
3.0,5.1,26.666666666666668,62.77777777777778,0.5132440476190476
3.0,5.1,26.666666666666668,68.22222222222223,0.5132440476190476
3.0,5.1,26.666666666666668,73.66666666666667,0.5132440476190476
3.0,5.1,26.666666666666668,79.11111111111111,0.5132440476190476
3.0,5.1,26.666666666666668,84.55555555555556,0.5132440476190476
3.0,5.1,26.666666666666668,90.0,0.5132440476190476
3.0,5.1,30.0,41.0,0.5132440476190476
3.0,5.1,30.0,46.44444444444444,0.5132440476190476
3.0,5.1,30.0,51.888888888888886,0.5132440476190476
3.0,5.1,30.0,57.333333333333336,0.5132440476190476
3.0,5.1,30.0,62.77777777777778,0.5132440476190476
3.0,5.1,30.0,68.22222222222223,0.5132440476190476
3.0,5.1,30.0,73.66666666666667,0.5132440476190476
3.0,5.1,30.0,79.11111111111111,0.5135416666666667
3.0,5.1,30.0,84.55555555555556,0.5135416666666667
3.0,5.1,30.0,90.0,0.5135416666666667
3.0,5.1,33.333333333333336,41.0,0.5184523809523809
3.0,5.1,33.333333333333336,46.44444444444444,0.5184523809523809
3.0,5.1,33.333333333333336,51.888888888888886,0.5184523809523809
3.0,5.1,33.333333333333336,57.333333333333336,0.5184523809523809
3.0,5.1,33.333333333333336,62.77777777777778,0.5184523809523809
3.0,5.1,33.333333333333336,68.22222222222223,0.5184523809523809
3.0,5.1,33.333333333333336,73.66666666666667,0.5184523809523809
